"","district","dem_share","dem_win_pct"
"86","CT 05",53.7985626461426,72.4633333333333
"87","DE 00",62.9638167702937,99.8366666666667
"88","FL 01",29.9328538817258,0
"89","FL 02",30.8182193387291,0.00333333333333333
"90","FL 03",44.0770905662332,9.05666666666667
"91","FL 04",30.9843238673676,0
"92","FL 05",70.3870805898308,100
"93","FL 06",43.3529671984247,14.9166666666667
"94","FL 07",58.1733582133353,96.3633333333333
"95","FL 08",38.373570169181,0.466666666666667
"96","FL 09",63.2375150498781,99.84
"97","FL 10",71.2025537975079,100
"98","FL 11",34.8108966878729,0.03
"99","FL 12",37.253341959823,0.196666666666667
"100","FL 13",57.4335531953316,95.0766666666667
"101","FL 14",65.2393787196419,99.9566666666667
"102","FL 15",46.2995459352568,20.1033333333333
"103","FL 16",44.7381693106882,11.7033333333333
"104","FL 17",37.9305414081771,0.37
"105","FL 18",45.7845929470951,17.8166666666667
"106","FL 19",36.1521843313255,0.09
"107","FL 20",87.0729969807499,100
"108","FL 21",66.8624769844045,99.9933333333333
"109","FL 22",62.7573706084149,99.7833333333333
"110","FL 23",64.8200853959298,99.9366666666667
"111","FL 24",NA,100
"112","FL 25",45.1958774320468,13.7533333333333
"113","FL 26",53.3301419121093,76.9566666666667
"114","FL 27",61.2333698302924,96.0566666666667
"115","GA 01",NA,0
"116","GA 02",63.0882525408745,99.8366666666667
"117","GA 03",32.3420738605171,0
"118","GA 04",82.0645105158485,100
"119","GA 05",92.5805826814913,100
"120","GA 06",45.7656180096102,17.11
"121","GA 07",45.2971724886007,14.66
"122","GA 08",35.4664454217964,0.07
"123","GA 09",NA,0
"124","GA 10",NA,0
"125","GA 11",36.398167775338,0.156666666666667
"126","GA 12",42.3082508217226,4.22
"127","GA 13",NA,100
"128","GA 14",NA,0
"129","HI 01",68.233957149433,99.7733333333333
"130","HI 02",81.0180546189987,100
"131","IA 01",50.0985322360336,50.8666666666667
"132","IA 02",54.7560505330148,85.7766666666667
"133","IA 03",47.9436510312647,32.6633333333333
"134","IA 04",39.5647610201127,0.94
"135","ID 01",31.2589711713399,0.156666666666667
"136","ID 02",35.2112203030505,0.0333333333333333
"137","IL 01",80.9935233294632,100
"138","IL 02",86.0060863278888,100
"139","IL 03",NA,100
"140","IL 04",NA,100
"141","IL 05",77.9317116447401,100
"142","IL 06",49.1424394600752,42.38
"143","IL 07",93.5019038877331,100
"144","IL 08",65.8324477882657,99.9866666666667
"145","IL 09",74.3252094350428,100
"146","IL 10",64.1631357252632,99.92
"147","IL 11",65.3941775557483,99.9833333333333
"148","IL 12",44.9481468013412,13.04
"149","IL 13",45.9523065830751,18.3466666666667
"150","IL 14",46.4255021887868,21.9733333333333
"151","IL 15",NA,0
"152","IL 16",NA,0
"153","IL 17",59.6305208085156,98.3366666666667
"154","IL 18",32.7548171135637,0.00333333333333333
"155","IN 01",NA,100
"156","IN 02",40.5056245125519,1.53333333333333
"157","IN 03",27.0363151357387,0
"158","IN 04",34.5159356558993,0.813333333333333
"159","IN 05",41.5985566074721,3.14666666666667
"160","IN 06",31.557665284916,0.21
"161","IN 07",66.9355522425204,99.9966666666667
"162","IN 08",34.6725324321105,0.0366666666666667
"163","IN 09",40.3770698318387,1.56
"164","KS 01",NA,0
"165","KS 02",42.3059371527683,11.94
"166","KS 03",50.0647063292919,50.7366666666667
"167","KS 04",35.6806036167291,0.05
"168","KY 01",25.5659232929819,0
"169","KY 02",NA,0
"170","KY 03",65.556011530343,99.9633333333333
"171","KY 04",31.2426091304102,0.00666666666666667
"172","KY 05",NA,0
"173","KY 06",42.7154715701636,5.05333333333333
"174","LA 01",24.8352353940972,0
"175","LA 02",NA,100
"176","LA 03",22.0904102210088,0
"177","LA 04",32.3449816344105,0.00666666666666667
"178","LA 05",NA,0
"179","LA 06",29.3481916903815,0
"180","MA 01",NA,100
"181","MA 02",NA,100
"182","MA 03",63.2889115135982,98.0666666666667
"183","MA 04",71.9276433856247,100
"184","MA 05",NA,100
"185","MA 06",NA,100
"186","MA 07",NA,100
"187","MA 08",73.8812708054267,100
"188","MA 09",63.7402403683836,99.8966666666667
"189","MD 01",33.4453776061151,0.01
"190","MD 02",68.8198791924854,100
"191","MD 03",69.9702556208344,100
"192","MD 04",86.387433484468,100
"193","MD 05",73.3118122874397,100
"194","MD 06",59.2140948653905,92.4633333333333
"195","MD 07",84.0236550416917,100
"196","MD 08",71.6108050249668,100
"197","ME 01",62.0592062569585,99.76
"198","ME 02",47.7918182462506,30.7833333333333
"199","MI 01",41.0358202065385,2.20666666666667
"200","MI 02",39.0589863056584,0.766666666666667
"201","MI 03",43.9960103258189,9.29
"202","MI 04",37.4603049948031,0.243333333333333
"203","MI 05",62.9691614363997,99.7966666666667
"204","MI 06",43.9893710663421,8.68
