"","district","dem_share","dem_win_pct"
"221","OH 05",34.4662908405698,0.03
"222","OH 06",30.6293669284363,0
"223","OH 07",34.7028867543197,0.0475
"224","OH 08",31.6309892670695,0
"225","OH 09",70.8159729326327,100
"226","OH 10",41.6258970212846,3.0375
"227","OH 11",87.7332694563777,100
"228","OH 13",66.4474654867894,99.98
"229","OH 14",43.019348934336,5.7325
"230","OH 15",39.8801296424954,1.21
"231","OK 02",25.8387038459507,0
"232","OK 03",23.1333306951966,0
"233","OK 04",30.3273830630736,0.0025
"234","OK 05",43.6667775195801,7.9
"235","OR 01",66.7811817326052,99.9825
"236","OR 02",34.8982999567416,0.0475
"237","OR 04",59.0244317885924,97.8375
"238","OR 05",58.2237487947416,96.74
"239","RI 01",69.2265076071493,100
"240","RI 02",65.2237907590202,99.9625
"241","SC 02",41.5292149878707,2.89
"242","SC 03",30.2718823785258,0
"243","SC 05",42.8607020653131,5.48
"244","SC 06",76.1563063085887,100
"245","SC 07",42.5782628105972,4.685
"246","TN 01",19.0244657774536,0
"247","TN 03",32.8748242468814,0.0075
"248","TN 04",34.4943405345114,0.0225
"249","TN 05",66.146823116028,99.9925
"250","TN 08",28.6698931630704,0
"251","TN 09",86.7802902353155,100
"252","TX 01",26.7219070664423,0
"253","TX 07",50.2350162872203,52.12
"254","TX 09",87.5686305317835,100
"255","TX 10",45.3550057060324,14.5725
"256","TX 12",32.5814055837614,0.005
"257","TX 14",41.5780080687079,2.8775
"258","TX 15",66.2930915175283,99.9925
"259","TX 17",41.1806558909057,2.3775
"260","TX 18",83.459031414604,100
"261","TX 22",45.9375906846985,18.22
"262","TX 23",54.0403031105431,81.5525
"263","TX 24",46.7588564118578,23.525
"264","TX 25",43.4162305046472,6.7975
"265","TX 26",35.3686019754979,0.0625
"266","TX 27",40.8102990904083,1.9
"267","TX 28",69.7626277048234,100
"268","TX 30",87.2856983062226,100
"269","TX 31",43.457613874919,6.9975
"270","TX 33",80.4523656328752,100
"271","TX 34",66.9383162358787,99.9925
"272","TX 35",72.4449011270248,100
"273","UT 01",32.1029587822895,0
"274","UT 02",40.5984638035983,1.795
"275","UT 03",31.3406967729614,0.005
"276","UT 04",47.7656301868313,30.4375
"277","VA 01",42.6192347118017,5.145
"278","VA 02",43.5778940235751,7.4875
"279","VA 03",72.0961257166464,100
"280","VA 04",65.6221858290983,99.97
"281","VA 07",47.2193941436315,26.98
"282","VA 08",80.1459422879199,100
"283","VA 09",30.7827645259027,0
"284","VA 10",54.4161062693223,83.8775
"285","WA 01",61.3504090971082,99.38
"286","WA 02",68.1745442732798,99.9975
"287","WA 03",44.7474025656141,11.4875
"288","WA 05",44.5129581263835,10.9675
"289","WA 06",64.2790978784938,99.9175
"290","WA 09",79.870958780792,100
"291","WA 10",62.156155573627,99.6525
"292","WI 02",74.4977156215042,100
"293","WI 05",36.6318618581435,0.15
"294","WI 06",43.0703457111201,5.97
"295","WI 07",41.4157868754935,2.675
"296","WI 08",39.4886438202227,0.815
"297","WV 01",31.7061681745871,0
"298","WV 02",39.8447644146014,1.1375
"299","WY 00",28.9910605261194,0
"300","AZ 02",54.5320742204586,75.7
"301","AZ 09",60.4107612280743,94.565
"302","CA 39",56.4184770500318,83.695
"303","CA 49",55.8661811945697,81.715
"304","CO 02",63.2473262352609,97.89
"305","CT 05",54.139006966603,73.845
"306","FL 06",43.7575001394847,16.79
"307","FL 27",61.6356688536194,96.1875
"308","HI 01",68.6090358199642,99.7975
"309","ID 01",31.6674491902679,0.2625
"310","IN 04",34.9495629657424,0.925
"311","IN 06",31.9735302962557,0.31
"312","KS 02",42.7214999518474,13.355
"313","MA 03",63.6347762416363,98.13
"314","MD 06",59.56774090368,92.9
"315","MI 09",55.951579175372,82.07
"316","MI 11",49.8915913459559,49.425
"317","MI 13",81.8690562887187,100
"318","MN 01",44.3725206228046,19.235
"319","MN 05",80.551249484017,100
"320","MS 03",40.2395150869482,6.3875
"321","NC 09",46.4321556440847,28.9675
